>>System Error :: Message => Argument 1 passed to Database\Finder\tableFinder::__construct() must be an instance of Database\Finder\Connector, null given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Desing\Desing.php on line 19 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Finder\tableFinder\tableFinder.php | ErrorLine  => 18 |  [ Time : 20:38 | Date : 07.02.2015 ] 
>>System Error :: Message => Argument 1 passed to GUMP::xss_clean() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\App\Assets.php on line 34 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\wixel\gump\gump.class.php | ErrorLine  => 102 |  [ Time : 20:38 | Date : 07.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\wixel\gump\gump.class.php | ErrorLine  => 104 |  [ Time : 20:38 | Date : 07.02.2015 ] 
>>System Error :: Message => Argument 1 passed to GUMP::xss_clean() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\App\Assets.php on line 39 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\wixel\gump\gump.class.php | ErrorLine  => 102 |  [ Time : 20:38 | Date : 07.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\wixel\gump\gump.class.php | ErrorLine  => 104 |  [ Time : 20:38 | Date : 07.02.2015 ] 
>>System Error :: Message => Illegal string offset 'default' | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Connector\Connector.php | ErrorLine  => 49 |  [ Time : 20:38 | Date : 07.02.2015 ] 
>>System Error :: Message => Illegal string offset 'Connections' | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Connector\Connector.php | ErrorLine  => 51 |  [ Time : 20:38 | Date : 07.02.2015 ] 
>>System Error :: Message => Illegal string offset 'a' | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Connector\Connector.php | ErrorLine  => 51 |  [ Time : 20:38 | Date : 07.02.2015 ] 
>>System Error :: Message => Undefined index: connector | ErrorNo => 8 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Adapter\Adapter.php | ErrorLine  => 119 |  [ Time : 20:38 | Date : 07.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Database\Finder\tableFinder::__construct() must be an instance of Database\Finder\Connector, null given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Desing\Desing.php on line 19 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Database\Finder\tableFinder\tableFinder.php | ErrorLine  => 18 |  [ Time : 20:38 | Date : 07.02.2015 ] 
>>System Error :: Message => Argument 1 passed to GUMP::xss_clean() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\App\Assets.php on line 34 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\wixel\gump\gump.class.php | ErrorLine  => 102 |  [ Time : 20:38 | Date : 07.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\wixel\gump\gump.class.php | ErrorLine  => 104 |  [ Time : 20:38 | Date : 07.02.2015 ] 
