>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 125 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:31 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 124 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:31 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 125 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:31 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 124 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:31 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 125 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:31 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 124 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:31 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 124 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:31 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 124 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:31 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 124 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:31 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined index: hour | ErrorNo => 8 | ErrorFile => 125 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Carbon\Carbon.php |  [ Time : 01:31 | Date : 04.02.2015 ] 
